time,dir,queue,vehicles,mean_speed
899.0,S,0,0,16.67
900.0,W,0,0,16.67
900.0,N,0,0,27.78
900.0,E,0,0,16.67
900.0,S,0,0,16.67
901.0,W,0,0,16.67
901.0,N,0,0,27.78
901.0,E,0,0,16.67
901.0,S,1,1,12.502500000000001
902.0,W,0,0,16.67
902.0,N,0,0,27.78
902.0,E,0,0,16.67
902.0,S,0,1,12.891959614473164
903.0,W,0,0,16.67
903.0,N,0,0,27.78
903.0,E,0,0,16.67
903.0,S,0,1,13.480525157615777
904.0,W,0,1,13.784428183365382
904.0,N,0,1,21.999647033566145
904.0,E,0,0,16.67
904.0,S,0,1,13.838907016107115
905.0,W,0,1,14.180007380291356
905.0,N,0,1,22.52549963147263
905.0,E,0,1,14.658876235996141
905.0,S,0,3,10.543473004664412
906.0,W,0,1,14.816269811339446
906.0,N,0,2,18.649401011629962
906.0,E,0,1,15.010417211530731
906.0,S,0,3,12.373993796236464
907.0,W,0,1,15.412896688245239
907.0,N,0,3,17.514001722957346
907.0,E,0,1,15.349549952088857
907.0,S,0,5,10.826302939030349
908.0,W,0,1,15.90000834524748
908.0,N,0,3,18.842465381149154
908.0,E,0,2,15.474495921364674
908.0,S,0,5,12.100237762770533
909.0,W,0,2,14.326627913011977
909.0,N,0,4,17.189560180169327
909.0,E,0,2,15.664972966592991
909.0,S,0,5,13.806349398961004
910.0,W,0,3,15.048324705016045
910.0,N,0,4,18.05620139404381
910.0,E,0,2,16.460746217055167
910.0,S,0,5,14.782976978383475
911.0,W,0,2,15.527852008208782
911.0,N,0,4,14.743368029851311
911.0,E,0,2,16.8127203313666
911.0,S,0,5,15.379716133618013
912.0,W,0,2,15.924449866255662
912.0,N,0,3,20.165653084309696
912.0,E,0,2,16.91471056352924
912.0,S,0,5,16.465327561288795
913.0,W,0,2,15.95376055618788
913.0,N,0,4,18.381290152843423
913.0,E,0,2,16.926529432560898
913.0,S,0,5,16.140709609960936
914.0,W,0,2,15.64594560921022
914.0,N,0,2,24.58091959709325
914.0,E,0,2,16.517922822191238
914.0,S,0,5,16.29157727093781
915.0,W,0,1,14.56787957073807
915.0,N,0,1,26.22563843338657
915.0,E,0,2,15.719506312326487
915.0,S,0,5,16.255250392367195
